ramo,etiqueta
r33_total,total
r33_faeb,Fondo de Aportaciones para la Educaciónn Básica y Formal
r33_fasa,Fondo de Aportaciones para los Servicios de Salud
r33_fis,Fondo de Aportaciones para la Infraestructura Social
r33_fise,Fondo para la Infraestructura Social Estatal
r33_fism,Fondo para la Infraestructura Social Municipal
r33_multiple,Fondo de Aportaciones Múltiples
r33_alimenticio,Apoyos alimentarios
r33_infraeduca,Apoyos para infraestructura educativa
r33_edusuperior,Apoyos para la educación superior
r33_fortamun,Fondo de Aportaciones para el Fortaleciomiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal
r33_edutecnologica,Fondo de Aportaciones para la Educación Tecnológica y de Adultos
r33_segurid,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal
r33_fortaestados,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas
